id,name,age,city,sales,profit,orders,discount,rating,category
1,Ravi,25,Hyderabad,500,50,5,10,4.5,A
2,Sita,30,Delhi,,60,6,5,4.2,B
3,John,28,Mumbai,300,40,4,8,4.0,A
4,Anil,35,Chennai,-100,20,3,5,3.8,C
5,,22,Pune,700,80,7,12,4.6,B
6,Kiran,40,Bangalore,15000,200,10,15,4.9,A
7,Meena,27,Hyderabad,abc,30,3,7,4.1,C
8,Arjun,29,Delhi,800,90,8,10,4.7,B
9,Divya,31,Mumbai,1200,100,9,11,4.3,A
10,Rahul,26,Pune,450,55,5,9,4.0,B
11,Sneha,33,Chennai,,70,6,6,4.2,A
12,Vikram,45,Bangalore,20000,300,12,20,4.8,C
13,Neha,24,Hyderabad,350,45,4,6,3.9,B
14,Karthik,38,Delhi,-250,30,2,4,3.5,A
15,Asha,29,Mumbai,900,95,8,10,4.4,C
16,Ramesh,50,Pune,1100,120,9,12,4.6,A
17,Anu,23,Chennai,xyz,25,2,3,3.7,B
18,Manoj,36,Bangalore,1300,150,10,14,4.5,C
19,Pooja,28,Hyderabad,,60,5,7,4.1,A
20,Varun,32,Delhi,600,70,6,9,4.2,B
21,Rohit,27,Hyderabad,550,60,5,10,4.3,A
22,Swathi,34,Delhi,,75,7,9,4.4,B
23,Daniel,29,Mumbai,400,50,4,8,4.1,C
24,Kumar,41,Chennai,-300,20,3,5,3.6,A
25,Priya,26,Pune,950,100,8,11,4.7,B
26,Suresh,48,Bangalore,18000,250,11,18,4.9,C
27,Keerthi,31,Hyderabad,xyz,35,3,6,4.0,A
28,Amit,33,Delhi,850,95,7,10,4.5,B
29,Nisha,28,Mumbai,1100,120,9,12,4.2,C
30,Rakesh,36,Pune,600,70,6,9,4.1,A
31,Deepa,30,Chennai,,65,5,8,4.3,B
32,Harsha,44,Bangalore,22000,320,13,21,4.8,C
33,Lavanya,25,Hyderabad,370,45,4,6,3.9,A
34,Vinay,39,Delhi,-150,25,2,4,3.7,B
35,Anitha,27,Mumbai,920,105,8,11,4.6,C
36,Murali,52,Pune,1150,130,9,13,4.5,A
37,Sowmya,24,Chennai,abc,20,2,3,3.8,B
38,Teja,37,Bangalore,1400,160,10,15,4.4,C
39,Kavya,29,Hyderabad,,60,5,7,4.2,A
40,Praveen,35,Delhi,650,75,6,9,4.3,B
41,Sunil,31,Mumbai,780,85,7,10,4.2,A
42,Geetha,45,Pune,,90,8,12,4.6,B
43,Imran,28,Chennai,420,50,4,7,4.0,C
44,Naresh,50,Bangalore,-500,30,3,6,3.5,A
45,Divya,26,Hyderabad,980,110,9,12,4.7,B
46,Rajesh,38,Delhi,21000,350,14,22,4.9,C
47,Snehal,33,Mumbai,xyz,40,3,6,4.1,A
48,Kiran,29,Pune,890,95,8,10,4.5,B
49,Manasa,27,Chennai,1000,120,9,13,4.3,C
50,Rahul,41,Bangalore,700,80,6,9,4.2,A
51,Pooja,30,Hyderabad,,70,6,8,4.4,B
52,Aravind,47,Delhi,23000,360,15,25,4.8,C
53,Shilpa,25,Mumbai,360,45,4,6,3.9,A
54,Karthik,36,Pune,-200,30,3,5,3.6,B
55,Ayesha,28,Chennai,910,100,8,11,4.6,C
56,Venkat,53,Bangalore,1200,140,10,14,4.5,A
57,Ritu,23,Hyderabad,abc,25,2,4,3.7,B
58,Sachin,39,Delhi,1500,180,11,16,4.4,C
59,Nikhil,34,Mumbai,,65,5,8,4.2,A
60,Megha,32,Pune,680,75,6,9,4.3,B
61,Raj,28,Hyderabad,720,80,6,9,4.3,A
62,Anjali,35,Delhi,,85,7,10,4.5,B
63,Chris,31,Mumbai,500,60,5,8,4.1,C
64,Vijay,42,Chennai,-450,25,3,6,3.6,A
65,Meera,26,Pune,980,110,9,12,4.7,B
66,Santosh,49,Bangalore,25000,400,16,28,4.9,C
67,Ritu,30,Hyderabad,abc,30,3,6,4.0,A
68,Ajay,33,Delhi,870,95,7,10,4.4,B
69,Nandini,29,Mumbai,1200,140,10,14,4.3,C
70,Arun,37,Pune,640,75,6,9,4.2,A
71,Keerthi,31,Chennai,,70,5,8,4.3,B
72,Ramesh,46,Bangalore,27000,420,18,30,4.8,C
73,Divya,24,Hyderabad,390,50,4,7,3.9,A
74,Suresh,40,Delhi,-350,30,2,5,3.7,B
75,Kavitha,27,Mumbai,910,105,8,11,4.6,C
76,Prasad,52,Pune,1300,150,10,15,4.5,A
77,Sneha,23,Chennai,xyz,20,2,3,3.8,B
78,Tejas,38,Bangalore,1500,170,11,16,4.4,C
79,Anu,29,Hyderabad,,60,5,7,4.2,A
80,Rohini,36,Delhi,690,80,6,9,4.3,B
81,Vamsi,32,Mumbai,820,90,7,10,4.2,A
82,Latha,44,Pune,,95,8,12,4.6,B
83,Irfan,28,Chennai,450,55,4,7,4.0,C
84,Naidu,51,Bangalore,-600,35,3,6,3.5,A
85,Priya,25,Hyderabad,1000,120,9,12,4.7,B
86,Rajesh,39,Delhi,26000,450,17,27,4.9,C
87,Sonal,34,Mumbai,xyz,45,3,6,4.1,A
88,Kiran,30,Pune,900,100,8,10,4.5,B
89,Swathi,28,Chennai,1100,130,10,14,4.3,C
90,Ajith,42,Bangalore,750,85,6,9,4.2,A
91,Pooja,31,Hyderabad,,75,6,8,4.4,B
92,Arjun,48,Delhi,28000,470,18,30,4.8,C
93,Neha,26,Mumbai,380,50,4,6,3.9,A
94,Karthik,37,Pune,-250,30,3,5,3.6,B
95,Aisha,29,Chennai,920,105,8,11,4.6,C
96,Venu,53,Bangalore,1350,150,10,15,4.5,A
97,Ritika,23,Hyderabad,abc,25,2,4,3.7,B
98,Sachin,40,Delhi,1600,190,12,17,4.4,C
99,Nikhil,35,Mumbai,,70,5,8,4.2,A
100,Megha,33,Pune,700,80,6,9,4.3,B
101,Aman,27,Hyderabad,650,75,6,9,4.2,A
102,Rashmi,34,Delhi,,85,7,11,4.5,B
103,Kevin,30,Mumbai,550,65,5,8,4.1,C
104,Kishore,43,Chennai,-400,28,3,6,3.6,A
105,Anitha,25,Pune,970,110,9,12,4.7,B
106,Manoj,50,Bangalore,30000,500,20,35,5.0,C
107,Deepa,31,Hyderabad,xyz,30,3,6,4.0,A
108,Ravi,36,Delhi,880,95,7,10,4.4,B
109,Priya,29,Mumbai,1250,140,10,14,4.3,C
110,Sanjay,38,Pune,670,80,6,9,4.2,A
111,Meena,32,Chennai,,75,5,8,4.3,B
112,Shankar,47,Bangalore,29000,480,19,32,4.9,C
113,Aarti,24,Hyderabad,400,50,4,7,3.9,A
114,Harish,41,Delhi,-300,30,2,5,3.7,B
115,Neelam,28,Mumbai,930,105,8,11,4.6,C
116,Reddy,52,Pune,1400,160,11,15,4.5,A
117,Sita,23,Chennai,abc,20,2,3,3.8,B
118,Tejaswini,39,Bangalore,1550,180,12,16,4.4,C
119,Kavya,29,Hyderabad,,65,5,7,4.2,A
120,Prakash,37,Delhi,720,85,6,9,4.3,B
